0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																							
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																						
		0	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90																																																																																																																					
			90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90																																																																																																																				
				90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90																																																																																																																			
					90	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	90																																																																																																																		
						84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	LL	90																																																																																																																	
							AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	FL	GG	90	90	90	90	90	90	90	90	LL	84	LL	LL	86	AA	AJ	84	LL	86	86																																																																																																																
								90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	LL	83	LL	LV	LV	LV	VJ	84	LL	86	86	86																																																																																																															
									90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	LL	81.5	LL	80	80	86	JJ	84	VV	VV	VV	86	80																																																																																																														
										90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	LL	80	80	80	80	LL	JJ	84	84	84	84	LL	LV	VV																																																																																																													
											90	90	90	90	90	NS	90	90	88	89	90	90	90	90	90	90	90	90	90	90	90	90	90	AA	GG	80	80	80	80	LV	AJ	AA	AA	AJ	84	LL	LL	80	80																																																																																																												
												80	80	80	80	80	82	84	86	88	90	90	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	80	80	86	86	86	86	JJ	84	LL	LL	80	80	80																																																																																																											
													80	80	80	80	82	84	86	88	90	90	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	VV	VV	VV	86	JJ	84	LL	LL	80	80	80	80																																																																																																										
														80	80	80	80	82	84	86	88	NS	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	JJ	80	80	80	LL	JJ	84	LL	LL	80	80	80	80	80																																																																																																									
